From,To,Neuropil,Synapses,Neuro Transmitter
720575940638218173,720575940631082124,GNG,40,ACH
720575940638218173,720575940631082124,PRW,2,ACH
720575940631082124,720575940638218173,GNG,35,ACH
720575940614211295,720575940612920386,PRW,3,ACH
720575940614211295,720575940612920386,GNG,31,ACH
720575940624079544,720575940628198503,GNG,33,ACH
720575940621375231,720575940638218173,PRW,3,ACH
720575940621375231,720575940638218173,GNG,29,ACH
720575940621375231,720575940631082124,PRW,4,ACH
720575940621375231,720575940631082124,GNG,27,ACH
720575940628198503,720575940624079544,GNG,29,ACH
720575940610683315,720575940631082124,GNG,29,ACH
720575940612920386,720575940628198503,GNG,29,ACH
720575940631082124,720575940621375231,GNG,29,ACH
720575940638218173,720575940621375231,PRW,1,ACH
720575940638218173,720575940621375231,GNG,27,ACH
720575940621375231,720575940610683315,GNG,27,ACH
720575940610683315,720575940621375231,GNG,25,ACH
720575940610683315,720575940621375231,PRW,1,ACH
720575940624079544,720575940612920386,GNG,25,ACH
720575940638218173,720575940610683315,PRW,1,ACH
720575940638218173,720575940610683315,GNG,23,ACH
720575940612920386,720575940614211295,GNG,23,ACH
720575940612920386,720575940614211295,PRW,1,ACH
720575940610683315,720575940626016017,GNG,24,ACH
720575940614211295,720575940624079544,GNG,23,ACH
720575940631082124,720575940626016017,GNG,20,ACH
720575940631082124,720575940626016017,PRW,1,ACH
720575940628198503,720575940631082124,GNG,21,ACH
720575940638218173,720575940626016017,PRW,1,ACH
720575940638218173,720575940626016017,GNG,19,ACH
720575940631082124,720575940610683315,GNG,20,ACH
720575940610683315,720575940638218173,GNG,19,ACH
720575940624079544,720575940614211295,GNG,19,ACH
720575940626016017,720575940638218173,GNG,18,ACH
720575940628198503,720575940610683315,GNG,18,ACH
720575940628198503,720575940612920386,GNG,17,ACH
720575940626016017,720575940610683315,GNG,16,ACH
720575940626016017,720575940610683315,PRW,1,ACH
720575940621375231,720575940626016017,PRW,1,ACH
720575940621375231,720575940626016017,GNG,15,ACH
720575940612920386,720575940624079544,GNG,15,ACH
720575940626016017,720575940631082124,GNG,14,ACH
720575940614211295,720575940628198503,GNG,13,ACH
720575940624079544,720575940638218173,GNG,12,ACH
720575940631082124,720575940628198503,GNG,12,ACH
720575940624079544,720575940626016017,GNG,11,ACH
720575940628198503,720575940638218173,GNG,11,ACH
720575940612920386,720575940610683315,GNG,11,ACH
720575940628198503,720575940626016017,GNG,11,ACH
720575940626016017,720575940621375231,GNG,11,ACH
720575940624079544,720575940631082124,GNG,11,ACH
720575940610683315,720575940624079544,GNG,10,ACH
720575940610683315,720575940628198503,GNG,10,ACH
720575940612920386,720575940631082124,GNG,9,ACH
720575940626016017,720575940628198503,GNG,9,ACH
720575940638218173,720575940624079544,GNG,9,ACH
720575940626016017,720575940614211295,GNG,8,ACH
720575940624079544,720575940610683315,GNG,8,ACH
720575940614211295,720575940626016017,GNG,8,ACH
720575940628198503,720575940614211295,GNG,8,ACH
720575940628198503,720575940629861163,GNG,8,ACH
720575940612920386,720575940626016017,GNG,7,ACH
720575940631082124,720575940629861163,GNG,7,ACH
720575940621375231,720575940628198503,GNG,7,ACH
720575940612920386,720575940615274425,GNG,6,ACH
720575940612920386,720575940615274425,PRW,1,ACH
720575940610683315,720575940612920386,GNG,7,ACH
720575940612920386,720575940638218173,GNG,7,ACH
720575940628198503,720575940621375231,GNG,7,ACH
720575940631082124,720575940624079544,GNG,6,ACH
720575940615274425,720575940626241636,GNG,5,ACH
720575940615274425,720575940626241636,PRW,1,ACH
720575940612920386,720575940626241636,GNG,6,ACH
720575940624079544,720575940629861163,GNG,6,ACH
720575940612920386,720575940621375231,GNG,4,ACH
720575940612920386,720575940621375231,PRW,1,ACH
720575940614211295,720575940615274425,GNG,5,ACH
720575940614211295,720575940610683315,GNG,5,ACH
720575940626241636,720575940612920386,GNG,5,ACH